order_id,customer_id,restaurant_id,order_item,order_date,order_time,order_status,total_amount
76,3589,692,Momos,2023-10-21,10:05:00,Delivered,407.83
77,7454,1376,Momos,2024-01-24,12:26:00,Pending,244.27
78,7555,1121,Margherita Pizza,2024-04-20,15:06:00,Delivered,407.42
79,8191,507,Tandoori Chicken,2024-12-09,11:12:00,Preparing,564.02
80,4851,1401,Butter Naan,2024-07-24,23:04:00,Delivered,361.46
81,8679,1941,Margherita Pizza,2024-03-05,18:03:00,Preparing,1070.69
82,4059,1989,Butter Naan,2023-01-23,15:27:00,Pending,755.03
83,6851,343,Momos,2024-03-23,23:14:00,Cancelled,1156.53
84,5819,1341,Veg Burger,2023-11-11,16:18:00,Pending,1074.54
85,4882,1209,Butter Naan,2023-01-05,10:09:00,Cancelled,1004.7
86,4425,1843,Paneer Butter Masala,2023-01-07,23:30:00,Pending,752.01
87,9649,576,Masala Dosa,2023-03-16,23:07:00,Preparing,902.9
88,5282,691,Fried Rice,2023-01-08,09:20:00,Pending,604.51
89,6538,1701,Margherita Pizza,2024-02-13,12:22:00,Pending,413.89
90,2349,12,Butter Naan,2024-10-04,22:05:00,Delivered,390.21
91,5194,236,Butter Naan,2023-11-19,11:51:00,Pending,167.04
92,1652,1729,Masala Dosa,2024-06-12,10:51:00,Preparing,413.35
93,5683,1313,Pasta Alfredo,2023-01-03,23:09:00,Delivered,897.12
94,6164,1630,Momos,2023-01-26,16:16:00,Delivered,475.97
95,834,1779,Paneer Butter Masala,2023-10-25,22:09:00,Pending,891.45
96,5690,225,Veg Burger,2024-05-08,11:49:00,Delivered,351.32
97,6153,775,Veg Burger,2024-01-25,15:41:00,Cancelled,999.29
98,2451,611,Masala Dosa,2023-09-20,08:32:00,Preparing,739.53
99,1831,254,Margherita Pizza,2023-06-29,09:33:00,Pending,478.59
100,2250,478,Butter Naan,2024-09-12,10:38:00,Preparing,673.1
101,9267,1644,Paneer Butter Masala,2024-12-15,23:20:00,Pending,507.33
102,7298,399,Veg Burger,2024-11-03,20:40:00,Cancelled,332.42
103,5734,918,Momos,2023-10-28,16:55:00,Preparing,1147.53
104,8800,1204,Paneer Butter Masala,2024-02-15,09:11:00,Cancelled,957.71
105,1767,1976,Fried Rice,2023-07-28,14:43:00,Pending,566.04
106,5795,1477,Margherita Pizza,2023-04-27,13:34:00,Cancelled,182.37
107,3654,512,Masala Dosa,2023-07-20,09:50:00,Cancelled,162.01
108,8170,570,Veg Burger,2024-07-08,17:13:00,Cancelled,934.3
109,1189,1528,Veg Burger,2024-06-04,19:42:00,Pending,352.44
110,6394,1677,Momos,2023-01-27,15:11:00,Pending,1032.42
111,8101,1198,Momos,2024-03-14,18:49:00,Preparing,200.14
112,1330,591,Fried Rice,2023-05-19,22:23:00,Pending,572.98
113,1328,1018,Butter Naan,2024-05-04,15:01:00,Pending,960.71
114,8820,228,Butter Naan,2024-04-11,22:05:00,Pending,264.17
115,1142,243,Fried Rice,2023-05-27,15:37:00,Delivered,924.67
116,5453,1186,Masala Dosa,2023-10-04,13:51:00,Delivered,1178.73
117,6327,877,Momos,2024-07-26,17:07:00,Pending,572.04
118,7209,1779,Fried Rice,2023-11-19,18:43:00,Delivered,1149.42
119,7393,119,Pasta Alfredo,2023-04-16,13:28:00,Cancelled,550.95
120,5020,1625,Margherita Pizza,2023-12-29,10:07:00,Preparing,686.7
121,7157,993,Chicken Biryani,2023-10-18,23:44:00,Cancelled,204.27
122,8941,560,Pasta Alfredo,2023-02-11,23:55:00,Delivered,885.86
123,7191,1689,Paneer Butter Masala,2023-03-24,08:37:00,Cancelled,194.08
124,3108,1082,Veg Burger,2024-02-28,15:00:00,Delivered,903.02
125,9006,1370,Pasta Alfredo,2023-09-02,10:15:00,Pending,227.16
126,5247,1086,Momos,2024-12-07,20:19:00,Delivered,726.21
127,3543,226,Veg Burger,2024-10-06,14:32:00,Delivered,1153.77
128,4843,34,Masala Dosa,2023-07-02,13:55:00,Delivered,877.26
129,4492,148,Masala Dosa,2023-07-01,15:35:00,Pending,1092.92
130,902,1144,Masala Dosa,2023-12-25,19:48:00,Preparing,874.16
131,4759,1284,Paneer Butter Masala,2023-08-11,22:34:00,Preparing,256.15
132,1464,117,Masala Dosa,2024-09-22,12:04:00,Preparing,953.45
133,3925,599,Pasta Alfredo,2023-08-13,16:11:00,Pending,685.77
134,152,548,Chicken Biryani,2024-06-27,23:27:00,Preparing,930.31
135,6878,120,Chicken Biryani,2024-02-18,13:55:00,Pending,341.29
136,2708,1320,Margherita Pizza,2023-11-22,12:27:00,Delivered,680.26
137,4169,1476,Veg Burger,2024-05-02,21:45:00,Cancelled,336.25
138,1266,516,Momos,2023-02-22,08:46:00,Delivered,372.51
139,4040,1884,Margherita Pizza,2024-12-05,09:14:00,Delivered,1083.32
140,5586,1025,Margherita Pizza,2023-03-22,20:39:00,Pending,535.2
141,3150,1716,Veg Burger,2023-01-25,20:57:00,Cancelled,647.92
142,4835,1211,Tandoori Chicken,2024-10-13,23:16:00,Cancelled,285.4
143,331,931,Masala Dosa,2024-04-02,23:38:00,Delivered,1183.95
144,8242,1345,Chicken Biryani,2023-04-11,20:34:00,Delivered,1105.56
145,6880,657,Pasta Alfredo,2024-09-11,08:35:00,Pending,220.42
146,2414,418,Veg Burger,2023-10-22,09:42:00,Cancelled,1180.7
147,6459,828,Momos,2024-02-17,08:54:00,Preparing,1060.26
148,9079,777,Masala Dosa,2024-03-28,11:33:00,Delivered,948.74
149,2769,1125,Chicken Biryani,2024-03-13,09:48:00,Cancelled,1072.63
150,9980,419,Fried Rice,2024-04-23,23:53:00,Preparing,933.47
151,4120,1063,Butter Naan,2023-12-16,09:34:00,Pending,1177.24
152,4638,1117,Chicken Biryani,2023-10-17,19:32:00,Preparing,294.51
153,3896,462,Fried Rice,2024-10-18,19:43:00,Cancelled,493.51
154,5911,622,Chicken Biryani,2024-04-11,21:09:00,Delivered,668.98
155,5338,1589,Masala Dosa,2023-09-03,16:30:00,Preparing,557.3
156,2311,1749,Margherita Pizza,2023-03-20,10:37:00,Preparing,1133.35
157,9141,1834,Veg Burger,2023-09-26,23:15:00,Pending,338.35
158,4776,152,Tandoori Chicken,2023-08-28,16:49:00,Pending,514.46
159,4788,1557,Pasta Alfredo,2024-01-25,10:03:00,Delivered,204.89
160,4944,53,Masala Dosa,2023-12-28,22:31:00,Preparing,233.81
161,5398,1830,Tandoori Chicken,2024-01-30,20:46:00,Preparing,953.74
162,1974,504,Pasta Alfredo,2024-11-25,15:20:00,Delivered,1190.36
163,4391,638,Paneer Butter Masala,2024-11-06,18:54:00,Preparing,1130.78
164,5196,217,Veg Burger,2024-02-04,20:05:00,Preparing,960.26
165,464,1460,Masala Dosa,2023-03-27,15:02:00,Delivered,872.35
166,9187,1499,Masala Dosa,2023-03-23,13:55:00,Preparing,288.12
167,3785,1198,Paneer Butter Masala,2024-01-20,13:38:00,Cancelled,740.95
168,5055,874,Fried Rice,2023-08-03,09:37:00,Preparing,962.82
169,5604,1174,Chicken Biryani,2024-06-08,08:05:00,Preparing,695.33
170,5925,279,Tandoori Chicken,2023-04-15,23:02:00,Cancelled,903.88
171,7853,88,Tandoori Chicken,2023-09-21,22:23:00,Pending,859.05
172,6556,1283,Masala Dosa,2023-02-18,23:44:00,Delivered,966.74
173,1724,513,Margherita Pizza,2023-07-19,11:08:00,Delivered,814.55
174,9274,1473,Momos,2023-01-12,20:58:00,Pending,152.74
175,1178,1276,Pasta Alfredo,2024-04-10,18:43:00,Preparing,1060.96
176,9465,296,Veg Burger,2024-08-06,10:23:00,Delivered,312.24
177,8012,1136,Butter Naan,2024-02-28,17:02:00,Preparing,1105.72
178,1496,129,Chicken Biryani,2024-01-05,13:50:00,Preparing,362.27
179,9335,1904,Tandoori Chicken,2023-12-21,12:54:00,Delivered,767.79
180,838,1484,Fried Rice,2023-06-06,15:49:00,Cancelled,704.2
181,9236,511,Chicken Biryani,2024-02-23,14:45:00,Pending,339.33
182,1234,459,Fried Rice,2023-08-22,16:25:00,Preparing,1065.21
183,7529,1161,Pasta Alfredo,2023-03-14,12:52:00,Pending,271.13
184,1009,1690,Pasta Alfredo,2024-07-11,14:44:00,Preparing,833.64
185,9865,1799,Momos,2024-01-25,08:17:00,Cancelled,1067.25
186,6694,1350,Butter Naan,2023-10-06,13:51:00,Delivered,853.12
187,4927,1246,Pasta Alfredo,2023-09-27,16:32:00,Pending,392.33
188,3739,392,Tandoori Chicken,2023-05-31,08:23:00,Pending,447.17
189,5518,540,Pasta Alfredo,2023-03-30,15:32:00,Cancelled,893.68
190,1788,1053,Fried Rice,2023-07-26,23:44:00,Pending,782.46
191,8559,1325,Butter Naan,2023-03-10,11:44:00,Cancelled,447.83
192,4485,1481,Butter Naan,2024-05-08,19:40:00,Delivered,586.34
193,5821,811,Veg Burger,2023-03-12,08:13:00,Cancelled,943.12
194,5772,1175,Pasta Alfredo,2024-03-09,20:50:00,Preparing,640.4
195,7244,1289,Pasta Alfredo,2024-04-09,14:25:00,Cancelled,983.9
196,2293,1786,Paneer Butter Masala,2024-12-27,08:28:00,Pending,906.04
197,3713,832,Momos,2023-12-13,18:57:00,Cancelled,346.12
198,175,342,Margherita Pizza,2023-08-17,16:15:00,Preparing,752.86
199,8697,1306,Pasta Alfredo,2024-08-28,08:00:00,Delivered,618.91
200,4012,1134,Butter Naan,2023-04-25,12:17:00,Pending,437.09
201,5480,588,Pasta Alfredo,2023-04-16,21:05:00,Pending,271.32
202,3043,863,Butter Naan,2024-07-23,19:06:00,Delivered,970.63
203,2147,1408,Veg Burger,2023-11-29,17:13:00,Delivered,352.03
204,9919,461,Momos,2024-03-14,13:52:00,Preparing,431.61
205,9335,940,Chicken Biryani,2024-07-14,09:10:00,Pending,319.3
206,5113,329,Paneer Butter Masala,2024-06-22,21:06:00,Preparing,557.34
207,5144,455,Fried Rice,2023-09-14,10:57:00,Pending,1183.12
208,5571,1800,Fried Rice,2023-11-20,23:30:00,Preparing,791.1
209,9773,396,Masala Dosa,2023-06-16,23:10:00,Delivered,1084.21
210,3894,1084,Margherita Pizza,2024-05-11,13:25:00,Preparing,650.4
211,6732,145,Momos,2023-06-05,17:02:00,Preparing,276.49
212,2973,45,Pasta Alfredo,2024-05-02,12:13:00,Delivered,860.17
213,1993,867,Tandoori Chicken,2024-10-14,21:02:00,Preparing,835.97
214,1869,1557,Veg Burger,2023-10-14,10:48:00,Pending,657.19
215,755,341,Margherita Pizza,2023-01-11,10:42:00,Cancelled,335.97
216,5139,895,Fried Rice,2023-05-03,18:20:00,Pending,361.88
217,808,1683,Tandoori Chicken,2023-07-21,13:57:00,Delivered,371.59
218,1894,128,Veg Burger,2024-03-13,12:03:00,Preparing,1078.76
219,8480,1247,Pasta Alfredo,2024-03-15,17:08:00,Cancelled,784.5
220,9070,494,Butter Naan,2024-11-28,17:31:00,Preparing,190.64
221,2024,1966,Fried Rice,2024-07-16,18:02:00,Cancelled,404.54
222,7269,1630,Fried Rice,2023-04-06,16:27:00,Pending,248.61
223,9840,778,Pasta Alfredo,2024-07-29,14:35:00,Pending,577.08
224,6828,1085,Momos,2023-02-24,17:31:00,Delivered,602.12
225,5820,603,Paneer Butter Masala,2024-09-22,19:31:00,Preparing,315.65
226,4220,1539,Fried Rice,2024-01-15,15:14:00,Pending,974.59
227,7652,434,Masala Dosa,2023-02-11,18:50:00,Delivered,729.82
228,1885,980,Chicken Biryani,2024-07-29,17:58:00,Pending,842.63
229,3034,4,Pasta Alfredo,2024-09-19,22:23:00,Preparing,541.43
230,2007,899,Chicken Biryani,2024-06-11,18:14:00,Delivered,1045.19
231,7476,235,Chicken Biryani,2024-04-26,08:46:00,Delivered,889.74
232,4975,464,Margherita Pizza,2024-08-25,17:57:00,Preparing,1199.68
233,9443,210,Veg Burger,2024-09-24,23:28:00,Delivered,186.92
234,7777,1964,Butter Naan,2024-06-02,09:21:00,Cancelled,877.15
235,3283,2000,Fried Rice,2023-05-15,18:07:00,Preparing,1155.41
236,8900,1041,Momos,2024-10-16,15:54:00,Pending,379.28
237,6716,1293,Chicken Biryani,2024-12-03,17:54:00,Pending,1177.24
238,1379,852,Masala Dosa,2023-08-01,12:54:00,Delivered,349.78
239,312,1675,Masala Dosa,2023-07-06,16:54:00,Preparing,1016.56
240,4371,124,Pasta Alfredo,2023-05-25,10:18:00,Preparing,590.86
241,7046,1221,Pasta Alfredo,2023-01-30,21:32:00,Delivered,1022.73
242,1702,1914,Pasta Alfredo,2024-02-24,17:24:00,Pending,706.68
243,916,1342,Tandoori Chicken,2023-10-27,18:57:00,Delivered,510.94
244,4723,10,Masala Dosa,2023-02-05,14:18:00,Pending,744.53
245,4059,534,Veg Burger,2024-05-14,13:52:00,Preparing,870.77
246,123,1398,Paneer Butter Masala,2024-02-24,13:58:00,Pending,1132.31
247,2315,958,Butter Naan,2023-03-14,09:22:00,Cancelled,877.97
248,9572,114,Veg Burger,2023-10-21,22:10:00,Cancelled,808.87
249,182,448,Fried Rice,2024-07-24,20:00:00,Pending,1066.36
250,3556,316,Margherita Pizza,2023-11-04,14:19:00,Delivered,392.17
251,5781,1405,Butter Naan,2024-04-15,19:15:00,Delivered,306.08
252,4459,607,Veg Burger,2024-11-18,12:35:00,Preparing,271.45
253,3501,1713,Paneer Butter Masala,2024-05-04,18:30:00,Pending,388.73
254,431,264,Chicken Biryani,2023-10-25,23:27:00,Delivered,345.25
255,5341,355,Masala Dosa,2024-09-27,13:53:00,Preparing,262.34
256,6343,1257,Veg Burger,2024-09-10,21:20:00,Pending,847.82
257,3344,678,Tandoori Chicken,2023-04-20,23:13:00,Cancelled,870.32
258,6152,1331,Pasta Alfredo,2023-02-07,08:41:00,Preparing,762.89
259,5293,1893,Veg Burger,2024-02-28,15:59:00,Delivered,400.29
260,5228,749,Momos,2023-03-03,13:29:00,Pending,848.35
261,6804,1693,Momos,2024-06-26,13:13:00,Pending,1127.22
262,2578,1327,Pasta Alfredo,2024-08-04,11:16:00,Delivered,572.39
263,6436,1459,Tandoori Chicken,2024-05-20,18:54:00,Cancelled,972.45
264,8085,1037,Tandoori Chicken,2024-12-10,19:43:00,Cancelled,333.0
265,6109,271,Margherita Pizza,2024-06-01,15:54:00,Pending,872.94
266,4105,1290,Tandoori Chicken,2024-03-13,16:59:00,Cancelled,398.68
267,4437,1410,Chicken Biryani,2023-03-17,14:42:00,Delivered,268.84
268,8358,534,Paneer Butter Masala,2024-04-27,12:09:00,Preparing,327.69
269,779,1252,Veg Burger,2024-07-19,11:46:00,Delivered,897.55
270,1569,356,Veg Burger,2024-05-15,22:01:00,Preparing,190.89
271,1257,1898,Fried Rice,2023-04-02,21:49:00,Cancelled,619.62
272,3934,466,Butter Naan,2023-06-16,19:05:00,Preparing,1141.97
273,7544,1863,Butter Naan,2024-01-12,21:37:00,Pending,1063.89
274,8617,72,Butter Naan,2023-10-08,19:20:00,Delivered,902.13
275,698,1185,Margherita Pizza,2024-11-15,15:08:00,Preparing,309.38
276,8682,119,Fried Rice,2023-02-12,18:57:00,Preparing,509.16
277,1885,1883,Momos,2023-11-24,16:35:00,Delivered,707.67
278,920,662,Chicken Biryani,2024-11-16,10:32:00,Cancelled,536.78
279,3944,1696,Masala Dosa,2024-01-23,09:49:00,Preparing,857.31
280,9541,207,Pasta Alfredo,2023-04-24,20:48:00,Pending,1078.53
281,7701,1584,Butter Naan,2024-06-03,10:59:00,Cancelled,228.2
282,7092,1397,Fried Rice,2024-05-05,20:23:00,Cancelled,775.86
283,7644,320,Fried Rice,2024-06-19,15:17:00,Preparing,316.05
284,1709,598,Tandoori Chicken,2024-05-06,18:54:00,Cancelled,1025.95
285,2037,193,Fried Rice,2023-01-24,15:51:00,Pending,992.41
286,4798,1624,Butter Naan,2024-07-05,17:15:00,Delivered,704.55
287,2015,1167,Margherita Pizza,2023-10-07,23:20:00,Preparing,1143.73
288,462,1334,Fried Rice,2024-01-10,17:20:00,Cancelled,229.53
289,1442,1775,Tandoori Chicken,2024-01-27,16:15:00,Pending,1045.26
290,1056,559,Butter Naan,2023-06-26,23:19:00,Preparing,412.67
291,349,1293,Margherita Pizza,2024-02-28,10:57:00,Pending,767.4
292,3996,1966,Momos,2023-02-13,21:40:00,Preparing,529.65
293,7842,22,Paneer Butter Masala,2024-11-03,16:39:00,Cancelled,219.43
294,4473,230,Margherita Pizza,2024-07-20,08:28:00,Cancelled,776.2
295,5363,13,Paneer Butter Masala,2023-12-09,15:44:00,Delivered,158.57
296,4019,1454,Fried Rice,2024-03-21,09:12:00,Delivered,425.8
297,8906,229,Pasta Alfredo,2024-11-17,10:13:00,Pending,272.41
298,7395,259,Tandoori Chicken,2024-08-01,09:06:00,Pending,1190.39
299,6198,107,Tandoori Chicken,2024-12-20,13:04:00,Pending,1005.16
300,5408,1907,Tandoori Chicken,2024-04-15,19:25:00,Delivered,1132.23
301,9846,69,Momos,2023-08-07,10:28:00,Cancelled,1187.54
302,5066,1241,Pasta Alfredo,2023-02-09,13:01:00,Cancelled,799.73
303,787,811,Paneer Butter Masala,2024-09-26,19:03:00,Preparing,684.37
304,7901,593,Momos,2024-05-09,21:49:00,Pending,920.37
305,1706,565,Chicken Biryani,2024-05-21,23:21:00,Pending,719.31
306,5582,1724,Margherita Pizza,2024-12-18,13:13:00,Delivered,747.85
307,9779,1866,Masala Dosa,2024-02-04,12:48:00,Preparing,250.24
308,8968,1613,Fried Rice,2024-11-13,18:30:00,Cancelled,863.98
309,2845,426,Fried Rice,2024-02-08,08:23:00,Delivered,950.79
310,4669,570,Momos,2024-05-13,17:42:00,Pending,462.46
311,4442,1984,Masala Dosa,2024-02-18,08:41:00,Preparing,948.03
312,7946,267,Masala Dosa,2023-08-19,11:39:00,Cancelled,221.15
313,1199,534,Fried Rice,2024-04-11,10:50:00,Delivered,371.27
314,2828,1671,Butter Naan,2024-05-30,08:24:00,Preparing,806.59
315,7564,1525,Momos,2024-04-05,17:53:00,Preparing,1090.84
316,6659,1154,Veg Burger,2024-05-22,10:37:00,Delivered,1095.81
317,885,1103,Pasta Alfredo,2023-05-10,14:58:00,Delivered,695.76
318,6716,1248,Butter Naan,2023-04-29,15:02:00,Cancelled,1090.69
319,354,431,Margherita Pizza,2024-09-20,22:02:00,Cancelled,938.37
320,2177,303,Margherita Pizza,2024-05-04,16:03:00,Pending,856.79
321,5909,1111,Pasta Alfredo,2023-04-04,18:18:00,Cancelled,455.13
322,5968,1926,Tandoori Chicken,2024-10-25,11:59:00,Pending,458.76
323,6924,488,Margherita Pizza,2023-07-19,22:50:00,Preparing,604.84
324,4094,1282,Tandoori Chicken,2023-04-25,09:59:00,Pending,742.63
325,961,229,Pasta Alfredo,2024-12-05,17:35:00,Pending,1052.5
326,8934,1286,Masala Dosa,2023-04-13,10:22:00,Preparing,957.04
327,4267,999,Margherita Pizza,2023-05-01,12:30:00,Preparing,1102.52
328,5650,1942,Momos,2023-02-09,18:12:00,Cancelled,464.35
329,3518,1801,Masala Dosa,2024-01-01,20:19:00,Pending,1000.36
330,523,577,Margherita Pizza,2023-07-10,17:03:00,Delivered,643.79
331,361,1374,Chicken Biryani,2023-07-07,19:52:00,Preparing,525.53
332,9906,1231,Chicken Biryani,2024-02-10,13:38:00,Preparing,863.05
333,3856,1488,Fried Rice,2024-02-24,10:56:00,Preparing,745.08
334,9905,1570,Fried Rice,2023-02-05,16:03:00,Pending,349.54
335,9959,74,Tandoori Chicken,2024-06-24,09:30:00,Preparing,1128.24
336,172,249,Tandoori Chicken,2023-03-31,09:01:00,Cancelled,645.47
337,8078,497,Tandoori Chicken,2024-07-28,21:26:00,Cancelled,180.19
338,9937,1222,Tandoori Chicken,2024-02-04,15:28:00,Preparing,1021.69
339,6620,1540,Fried Rice,2024-08-09,16:04:00,Delivered,216.81
340,233,964,Veg Burger,2023-05-21,09:31:00,Preparing,890.77
341,8844,1254,Fried Rice,2024-03-28,09:52:00,Cancelled,498.11
342,5996,1110,Tandoori Chicken,2024-06-05,11:12:00,Delivered,343.3
343,5833,669,Masala Dosa,2023-11-12,19:30:00,Delivered,806.33
344,5211,1030,Momos,2024-02-19,19:32:00,Delivered,356.35
345,8711,1845,Pasta Alfredo,2024-05-03,09:00:00,Cancelled,1010.89
346,9869,1569,Tandoori Chicken,2024-01-05,17:21:00,Pending,737.8
347,2713,1302,Butter Naan,2024-06-30,23:38:00,Cancelled,712.32
348,5708,203,Margherita Pizza,2024-02-15,12:48:00,Preparing,966.7
349,6838,1754,Margherita Pizza,2024-10-02,12:10:00,Cancelled,710.5
350,8990,25,Paneer Butter Masala,2023-08-22,21:14:00,Delivered,522.54
351,7875,1698,Pasta Alfredo,2023-09-08,18:04:00,Cancelled,778.05
352,2276,1953,Paneer Butter Masala,2024-10-30,08:18:00,Pending,224.49
353,2562,1939,Veg Burger,2023-07-03,14:27:00,Pending,584.38
354,35,1598,Tandoori Chicken,2024-10-29,18:31:00,Pending,229.13
355,9121,63,Veg Burger,2024-11-05,17:32:00,Cancelled,327.58
356,5305,1990,Margherita Pizza,2023-10-26,16:26:00,Preparing,1072.76
357,5627,48,Tandoori Chicken,2024-09-25,12:30:00,Preparing,942.94
358,677,77,Masala Dosa,2023-05-06,11:56:00,Pending,744.71
359,7817,1223,Chicken Biryani,2023-10-05,12:12:00,Delivered,1037.85
360,9806,523,Momos,2024-06-15,13:29:00,Cancelled,512.96
361,6030,860,Fried Rice,2024-04-26,20:11:00,Delivered,490.74
362,7922,1260,Veg Burger,2023-09-25,19:24:00,Pending,1149.45
363,6160,697,Tandoori Chicken,2023-05-28,10:46:00,Cancelled,995.89
364,8077,939,Veg Burger,2023-02-25,19:39:00,Cancelled,262.76
365,781,1617,Momos,2024-01-18,10:53:00,Delivered,607.87
366,1256,1374,Masala Dosa,2024-11-02,09:03:00,Cancelled,869.52
367,4871,433,Veg Burger,2023-07-31,10:24:00,Pending,531.33
368,6061,696,Butter Naan,2024-08-03,22:29:00,Delivered,621.57
369,8456,1360,Chicken Biryani,2024-08-08,16:31:00,Delivered,332.37
